State,District,Median Income,College%
Florida,"Congressional District 19 (119th Congress), Florida",50330,23.6
Florida,"Congressional District 20 (119th Congress), Florida",42231,17.6
Florida,"Congressional District 21 (119th Congress), Florida",50379,23.3
Florida,"Congressional District 22 (119th Congress), Florida",50046,24.7
Florida,"Congressional District 23 (119th Congress), Florida",56269,26.6
Florida,"Congressional District 24 (119th Congress), Florida",41912,19
Florida,"Congressional District 25 (119th Congress), Florida",51163,25.5
Florida,"Congressional District 26 (119th Congress), Florida",42046,21
Florida,"Congressional District 27 (119th Congress), Florida",50501,27.7
Florida,"Congressional District 28 (119th Congress), Florida",45054,23.7
Georgia,"Congressional District 1 (119th Congress), Georgia",46998,18.8
Georgia,"Congressional District 2 (119th Congress), Georgia",40940,12.2
Georgia,"Congressional District 3 (119th Congress), Georgia",51852,19.5
Georgia,"Congressional District 4 (119th Congress), Georgia",46501,24.3
Georgia,"Congressional District 5 (119th Congress), Georgia",59986,28.2
Georgia,"Congressional District 6 (119th Congress), Georgia",61625,29.1
Georgia,"Congressional District 7 (119th Congress), Georgia",80310,36.4
Georgia,"Congressional District 8 (119th Congress), Georgia",44757,13.7
Georgia,"Congressional District 9 (119th Congress), Georgia",50090,22.1
Georgia,"Congressional District 10 (119th Congress), Georgia",50875,17.2
Georgia,"Congressional District 11 (119th Congress), Georgia",60214,26.5
Georgia,"Congressional District 12 (119th Congress), Georgia",46332,14.3
Georgia,"Congressional District 13 (119th Congress), Georgia",49584,20.5
Georgia,"Congressional District 14 (119th Congress), Georgia",50046,17.5
Hawaii,"Congressional District 1 (119th Congress), Hawaii",55735,27.1
Hawaii,"Congressional District 2 (119th Congress), Hawaii",51290,20.6
Idaho,"Congressional District 1 (119th Congress), Idaho",50461,20.7
Idaho,"Congressional District 2 (119th Congress), Idaho",50067,23.1
Illinois,"Congressional District 1 (119th Congress), Illinois",51628,18.6
Illinois,"Congressional District 2 (119th Congress), Illinois",47073,14.9
Illinois,"Congressional District 3 (119th Congress), Illinois",52733,25.2
Illinois,"Congressional District 4 (119th Congress), Illinois",45861,15.9
Illinois,"Congressional District 5 (119th Congress), Illinois",79045,38.8
Illinois,"Congressional District 6 (119th Congress), Illinois",62164,26.2
Illinois,"Congressional District 7 (119th Congress), Illinois",68113,28.9
Illinois,"Congressional District 8 (119th Congress), Illinois",58074,25.9
Illinois,"Congressional District 9 (119th Congress), Illinois",64630,31.9
Illinois,"Congressional District 10 (119th Congress), Illinois",62205,27.1
Illinois,"Congressional District 11 (119th Congress), Illinois",62237,28.7
Illinois,"Congressional District 12 (119th Congress), Illinois",50346,15.2
Illinois,"Congressional District 13 (119th Congress), Illinois",51298,19.1
Illinois,"Congressional District 14 (119th Congress), Illinois",57577,22.2
Illinois,"Congressional District 15 (119th Congress), Illinois",51566,17.5
Illinois,"Congressional District 16 (119th Congress), Illinois",53586,20.6
Illinois,"Congressional District 17 (119th Congress), Illinois",45460,16.9
Indiana,"Congressional District 1 (119th Congress), Indiana",52411,19.3
Indiana,"Congressional District 2 (119th Congress), Indiana",47322,15.9
Indiana,"Congressional District 3 (119th Congress), Indiana",48891,18.4
Indiana,"Congressional District 4 (119th Congress), Indiana",51502,19.8
Indiana,"Congressional District 5 (119th Congress), Indiana",57145,25.4
Indiana,"Congressional District 6 (119th Congress), Indiana",51748,19.9
Indiana,"Congressional District 7 (119th Congress), Indiana",48450,22.6
Indiana,"Congressional District 8 (119th Congress), Indiana",47321,16.5
Indiana,"Congressional District 9 (119th Congress), Indiana",50553,17.2
Iowa,"Congressional District 1 (119th Congress), Iowa",51005,20.2
Iowa,"Congressional District 2 (119th Congress), Iowa",50894,19.9
Iowa,"Congressional District 3 (119th Congress), Iowa",53792,26
Iowa,"Congressional District 4 (119th Congress), Iowa",50191,18.1
Kansas,"Congressional District 1 (119th Congress), Kansas",46730,18.9
Kansas,"Congressional District 2 (119th Congress), Kansas",46669,16.8
Kansas,"Congressional District 3 (119th Congress), Kansas",65213,33.1
Kansas,"Congressional District 4 (119th Congress), Kansas",50506,20.1
Kentucky,"Congressional District 1 (119th Congress), Kentucky",43070,12.6
Kentucky,"Congressional District 2 (119th Congress), Kentucky",47356,14.1
Kentucky,"Congressional District 3 (119th Congress), Kentucky",48330,21.1
Kentucky,"Congressional District 4 (119th Congress), Kentucky",54001,18.8
Kentucky,"Congressional District 5 (119th Congress), Kentucky",40567,8.2
Kentucky,"Congressional District 6 (119th Congress), Kentucky",50781,22
Louisiana,"Congressional District 1 (119th Congress), Louisiana",55376,23.4
Louisiana,"Congressional District 2 (119th Congress), Louisiana",44254,16.4
Louisiana,"Congressional District 3 (119th Congress), Louisiana",45119,16.7
Louisiana,"Congressional District 4 (119th Congress), Louisiana",46503,15
Louisiana,"Congressional District 5 (119th Congress), Louisiana",45800,17.4
Louisiana,"Congressional District 6 (119th Congress), Louisiana",40691,14.3
Maine,"Congressional District 1 (119th Congress), Maine",56835,27
Maine,"Congressional District 2 (119th Congress), Maine",47861,17.8
Maryland,"Congressional District 1 (119th Congress), Maryland",61509,22
Maryland,"Congressional District 2 (119th Congress), Maryland",63044,25.8
Maryland,"Congressional District 3 (119th Congress), Maryland",76748,26.9
Maryland,"Congressional District 4 (119th Congress), Maryland",52400,19.4
Maryland,"Congressional District 5 (119th Congress), Maryland",79133,23
Maryland,"Congressional District 6 (119th Congress), Maryland",63111,23.2
Maryland,"Congressional District 7 (119th Congress), Maryland",52479,17.7
Maryland,"Congressional District 8 (119th Congress), Maryland",81253,27
Massachusetts,"Congressional District 1 (119th Congress), Massachusetts",55892,19.1
Massachusetts,"Congressional District 2 (119th Congress), Massachusetts",64033,25.3
Massachusetts,"Congressional District 3 (119th Congress), Massachusetts",61010,22.5
Massachusetts,"Congressional District 4 (119th Congress), Massachusetts",70913,26
Massachusetts,"Congressional District 5 (119th Congress), Massachusetts",80465,29.4
Massachusetts,"Congressional District 6 (119th Congress), Massachusetts",71539,29.1
Massachusetts,"Congressional District 7 (119th Congress), Massachusetts",62473,25.3
Massachusetts,"Congressional District 8 (119th Congress), Massachusetts",77343,29.3
Massachusetts,"Congressional District 9 (119th Congress), Massachusetts",65091,25.2
Michigan,"Congressional District 1 (119th Congress), Michigan",44428,18.2
Michigan,"Congressional District 2 (119th Congress), Michigan",46370,15
Michigan,"Congressional District 3 (119th Congress), Michigan",50828,25.5
Michigan,"Congressional District 4 (119th Congress), Michigan",51007,22.3
Michigan,"Congressional District 5 (119th Congress), Michigan",48020,15.6
Michigan,"Congressional District 6 (119th Congress), Michigan",65910,27
Michigan,"Congressional District 7 (119th Congress), Michigan",55053,23.6
Michigan,"Congressional District 8 (119th Congress), Michigan",45878,16.7
Michigan,"Congressional District 9 (119th Congress), Michigan",55227,19.2
Michigan,"Congressional District 10 (119th Congress), Michigan",51799,19.4
Michigan,"Congressional District 11 (119th Congress), Michigan",62074,29.5
Michigan,"Congressional District 12 (119th Congress), Michigan",45489,17.4
Michigan,"Congressional District 13 (119th Congress), Michigan",42130,13.4
Minnesota,"Congressional District 1 (119th Congress), Minnesota",53712,21.2
Minnesota,"Congressional District 2 (119th Congress), Minnesota",65330,29.6
Minnesota,"Congressional District 3 (119th Congress), Minnesota",70001,33.8
Minnesota,"Congressional District 4 (119th Congress), Minnesota",55362,28.2
Minnesota,"Congressional District 5 (119th Congress), Minnesota",61254,32.2
Minnesota,"Congressional District 6 (119th Congress), Minnesota",63334,25.7
Minnesota,"Congressional District 7 (119th Congress), Minnesota",50590,18.6
Minnesota,"Congressional District 8 (119th Congress), Minnesota",51688,19.3
Mississippi,"Congressional District 1 (119th Congress), Mississippi",46162,16.7
Mississippi,"Congressional District 2 (119th Congress), Mississippi",38387,13.3
Mississippi,"Congressional District 3 (119th Congress), Mississippi",47639,18.2
Mississippi,"Congressional District 4 (119th Congress), Mississippi",45722,16.9
Missouri,"Congressional District 1 (119th Congress), Missouri",47834,22.1
