State,County,Population
 Oklahoma,Caddo County,26945
 Oklahoma,Canadian County,154155
 Oklahoma,Carter County,48003
 Oklahoma,Cherokee County,47074
 Oklahoma,Choctaw County,14206
 Oklahoma,Cimarron County,2293
 Oklahoma,Cleveland County,295533
 Oklahoma,Coal County,5267
 Oklahoma,Comanche County,121120
 Oklahoma,Cotton County,5525
 Oklahoma,Craig County,14107
 Oklahoma,Creek County,71763
 Oklahoma,Custer County,28518
 Oklahoma,Delaware County,40395
 Oklahoma,Dewey County,4479
 Oklahoma,Ellis County,3753
 Oklahoma,Garfield County,62845
 Oklahoma,Garvin County,25661
 Oklahoma,Grady County,54805
 Oklahoma,Grant County,4165
 Oklahoma,Greer County,5491
 Oklahoma,Harmon County,2489
 Oklahoma,Harper County,3266
 Oklahoma,Haskell County,11559
 Oklahoma,Hughes County,13364
 Oklahoma,Jackson County,24792
 Oklahoma,Jefferson County,5344
 Oklahoma,Johnston County,10276
 Oklahoma,Kay County,43700
 Oklahoma,Kingfisher County,15189
 Oklahoma,Kiowa County,8505
 Oklahoma,Latimer County,9448
 Oklahoma,Le Flore County,48132
 Oklahoma,Lincoln County,33463
 Oklahoma,Logan County,49554
 Oklahoma,Love County,10144
 Oklahoma,McClain County,41659
 Oklahoma,McCurtain County,30812
 Oklahoma,McIntosh County,18944
 Oklahoma,Major County,7783
 Oklahoma,Marshall County,15300
 Oklahoma,Mayes County,39043
 Oklahoma,Murray County,13904
 Oklahoma,Muskogee County,66343
 Oklahoma,Noble County,10924
 Oklahoma,Nowata County,9324
 Oklahoma,Okfuskee County,11313
 Oklahoma,Oklahoma County,796563
 Oklahoma,Okmulgee County,36704
 Oklahoma,Osage County,45829
 Oklahoma,Ottawa County,30286
 Oklahoma,Pawnee County,15558
 Oklahoma,Payne County,81646
 Oklahoma,Pittsburg County,43770
 Oklahoma,Pontotoc County,38068
 Oklahoma,Pottawatomie County,72450
 Oklahoma,Pushmataha County,10812
 Oklahoma,Roger Mills County,3439
 Oklahoma,Rogers County,95245
 Oklahoma,Seminole County,23555
 Oklahoma,Sequoyah County,39277
 Oklahoma,Stephens County,42847
 Oklahoma,Texas County,21383
 Oklahoma,Tillman County,6960
 Oklahoma,Tulsa County,669260
 Oklahoma,Wagoner County,80997
 Oklahoma,Washington County,52443
 Oklahoma,Washita County,10921
 Oklahoma,Woods County,8627
 Oklahoma,Woodward County,20483
 Oregon,Baker County,16669
 Oregon,Benton County,95186
 Oregon,Clackamas County,421428
 Oregon,Clatsop County,41067
 Oregon,Columbia County,52592
 Oregon,Coos County,64926
 Oregon,Crook County,24739
 Oregon,Curry County,23448
 Oregon,Deschutes County,198253
 Oregon,Douglas County,111200
 Oregon,Gilliam County,1994
 Oregon,Grant County,7225
 Oregon,Harney County,7501
 Oregon,Hood River County,23981
 Oregon,Jackson County,223263
 Oregon,Jefferson County,24503
 Oregon,Josephine County,88088
 Oregon,Klamath County,69412
 Oregon,Lake County,8164
 Oregon,Lane County,382974
 Oregon,Lincoln County,50402
 Oregon,Linn County,128609
 Oregon,Malheur County,31569
 Oregon,Marion County,345905
 Oregon,Morrow County,12184
 Oregon,Multnomah County,815398
 Oregon,Polk County,87430
 Oregon,Sherman County,1866
 Oregon,Tillamook County,27386
 Oregon,Umatilla County,80078
 Oregon,Union County,26195
 Oregon,Wallowa County,7386
 Oregon,Wasco County,26667
 Oregon,Washington County,600372
 Oregon,Wheeler County,1448
 Oregon,Yamhill County,107716
 Pennsylvania,Adams County,103840
 Pennsylvania,Allegheny County,1250583
 Pennsylvania,Armstrong County,65548
 Pennsylvania,Beaver County,168220
 Pennsylvania,Bedford County,47576
 Pennsylvania,Berks County,428850
 Pennsylvania,Blair County,122821
 Pennsylvania,Bradford County,59956
 Pennsylvania,Bucks County,646515
 Pennsylvania,Butler County,193764
 Pennsylvania,Cambria County,133463
 Pennsylvania,Cameron County,4548
 Pennsylvania,Carbon County,64754
 Pennsylvania,Centre County,158164
 Pennsylvania,Chester County,534418
 Pennsylvania,Clarion County,37238
 Pennsylvania,Clearfield County,80558
 Pennsylvania,Clinton County,37448
 Pennsylvania,Columbia County,64722
 Pennsylvania,Crawford County,83954
 Pennsylvania,Cumberland County,259468
 Pennsylvania,Dauphin County,286392
 Pennsylvania,Delaware County,576970
 Pennsylvania,Elk County,30992
 Pennsylvania,Erie County,271049
 Pennsylvania,Fayette County,128823
 Pennsylvania,Forest County,6978
 Pennsylvania,Franklin County,155948
 Pennsylvania,Fulton County,14567
 Pennsylvania,Greene County,35949
 Pennsylvania,Huntingdon County,44105
 Pennsylvania,Indiana County,83232
 Pennsylvania,Jefferson County,44491
 Pennsylvania,Juniata County,23504
 Pennsylvania,Lackawanna County,215911
 Pennsylvania,Lancaster County,552981
 Pennsylvania,Lawrence County,86067
 Pennsylvania,Lebanon County,143262
 Pennsylvania,Lehigh County,374552
 Pennsylvania,Luzerne County,325602
 Pennsylvania,Lycoming County,114193
 Pennsylvania,McKean County,40435
 Pennsylvania,Mercer County,110656
 Pennsylvania,Mifflin County,46140
 Pennsylvania,Monroe County,168315
 Pennsylvania,Montgomery County,856413
 Pennsylvania,Montour County,18145
 Pennsylvania,Northampton County,312957
 Pennsylvania,Northumberland County,91642
 Pennsylvania,Perry County,45841
 Pennsylvania,Philadelphia County,1603794
 Pennsylvania,Pike County,58545
 Pennsylvania,Potter County,16399
 Pennsylvania,Schuylkill County,143046
 Pennsylvania,Snyder County,39742
 Pennsylvania,Somerset County,74137
 Pennsylvania,Sullivan County,5841
 Pennsylvania,Susquehanna County,38437
 Pennsylvania,Tioga County,41044
 Pennsylvania,Union County,42685
 Pennsylvania,Venango County,50450
 Pennsylvania,Warren County,38596
 Pennsylvania,Washington County,209345
 Pennsylvania,Wayne County,51149
 Pennsylvania,Westmoreland County,354648
 Pennsylvania,Wyoming County,26082
 Pennsylvania,York County,456449
 Rhode Island,Bristol County,50786
 Rhode Island,Kent County,170366
 Rhode Island,Newport County,85641
 Rhode Island,Providence County,660725
 Rhode Island,Washington County,129836
 South Carolina,Abbeville County,24290
 South Carolina,Aiken County,168805
 South Carolina,Allendale County,8042
 South Carolina,Anderson County,203721
 South Carolina,Bamberg County,13312
 South Carolina,Barnwell County,20592
 South Carolina,Beaufort County,187098
 South Carolina,Berkeley County,229781
 South Carolina,Calhoun County,14121
 South Carolina,Charleston County,408530
 South Carolina,Cherokee County,56226
 South Carolina,Chester County,32300
 South Carolina,Chesterfield County,43267
 South Carolina,Clarendon County,31140
 South Carolina,Colleton County,38601
 South Carolina,Darlington County,62897
 South Carolina,Dillon County,28298
 South Carolina,Dorchester County,161331
 South Carolina,Edgefield County,25645
 South Carolina,Fairfield County,20940
 South Carolina,Florence County,137046
 South Carolina,Georgetown County,63406
 South Carolina,Greenville County,525543
 South Carolina,Greenwood County,69351
 South Carolina,Hampton County,18565
 South Carolina,Horry County,351038
 South Carolina,Jasper County,28805
 South Carolina,Kershaw County,65413
 South Carolina,Lancaster County,96012
 South Carolina,Laurens County,67527
 South Carolina,Lee County,16535
 South Carolina,Lexington County,293912
 South Carolina,McCormick County,9529
 South Carolina,Marion County,29179
 South Carolina,Marlboro County,26669
 South Carolina,Newberry County,37726
 South Carolina,Oconee County,78601
 South Carolina,Orangeburg County,84229
 South Carolina,Pickens County,131417
 South Carolina,Richland County,416146
 South Carolina,Saluda County,18934
 South Carolina,Spartanburg County,327997
 South Carolina,Sumter County,105557
 South Carolina,Union County,27240
 South Carolina,Williamsburg County,31026
 South Carolina,York County,281912
 South Dakota,Aurora County,2753
 South Dakota,Beadle County,19152
 South Dakota,Bennett County,3379
 South Dakota,Bon Homme County,6995
 South Dakota,Brookings County,34376
 South Dakota,Brown County,38296
 South Dakota,Brule County,5247
 South Dakota,Buffalo County,1945
 South Dakota,Butte County,10242
 South Dakota,Campbell County,1378
 South Dakota,Charles Mix County,9384
 South Dakota,Clark County,3839
 South Dakota,Clay County,14971
 South Dakota,Codington County,28323
 South Dakota,Corson County,3896
 South Dakota,Custer County,8325
 South Dakota,Davison County,19950
 South Dakota,Day County,5444
 South Dakota,Deuel County,4301
 South Dakota,Dewey County,5243
 South Dakota,Douglas County,2833
 South Dakota,Edmunds County,3996
 South Dakota,Fall River County,6971
 South Dakota,Faulk County,2124
 South Dakota,Grant County,7562
 South Dakota,Gregory County,3991
 South Dakota,Haakon County,1874
 South Dakota,Hamlin County,6162
 South Dakota,Hand County,3148
 South Dakota,Hanson County,3458
 South Dakota,Harding County,1310
 South Dakota,Hughes County,17770
 South Dakota,Hutchinson County,7425
 South Dakota,Hyde County,1263
 South Dakota,Jackson County,2808
 South Dakota,Jerauld County,1657
 South Dakota,Jones County,917
 South Dakota,Kingsbury County,5187
 South Dakota,Lake County,11064
 South Dakota,Lawrence County,25776
 South Dakota,Lincoln County,65156
 South Dakota,Lyman County,3714
 South Dakota,McCook County,5683
 South Dakota,McPherson County,2410
 South Dakota,Marshall County,4300
 South Dakota,Meade County,29850
 South Dakota,Mellette County,1921
 South Dakota,Miner County,2300
 South Dakota,Minnehaha County,197221
 South Dakota,Moody County,6336
 South Dakota,Oglala Lakota County,13671
 South Dakota,Pennington County,109229
 South Dakota,Perkins County,2849
 South Dakota,Potter County,2474
 South Dakota,Roberts County,10282
 South Dakota,Sanborn County,2335
 South Dakota,Spink County,6357
 South Dakota,Stanley County,2980
 South Dakota,Sully County,1447
 South Dakota,Todd County,9322
 South Dakota,Tripp County,5625
 South Dakota,Turner County,8674
 South Dakota,Union County,16814
 South Dakota,Walworth County,5318
 South Dakota,Yankton County,23312
 South Dakota,Ziebach County,2414
 Tennessee,Anderson County,77154
 Tennessee,Bedford County,50246
 Tennessee,Benton County,15865
 Tennessee,Bledsoe County,14916
 Tennessee,Blount County,135284
 Tennessee,Bradley County,108620
 Tennessee,Campbell County,39278
 Tennessee,Cannon County,14503
 Tennessee,Carroll County,28436
 Tennessee,Carter County,56363
 Tennessee,Cheatham County,41021
 Tennessee,Chester County,17352
 Tennessee,Claiborne County,32037
 Tennessee,Clay County,7585
 Tennessee,Cocke County,35997
 Tennessee,Coffee County,57889
 Tennessee,Crockett County,13908
 Tennessee,Cumberland County,61145
 Tennessee,Davidson County,715884
 Tennessee,Decatur County,11436
 Tennessee,DeKalb County,20079
 Tennessee,Dickson County,54317
 Tennessee,Dyer County,36799
 Tennessee,Fayette County,41714
 Tennessee,Fentress County,18487
 Tennessee,Franklin County,42733
 Tennessee,Gibson County,50413
 Tennessee,Giles County,30343
 Tennessee,Grainger County,23528
 Tennessee,Greene County,70161
 Tennessee,Grundy County,13533
 Tennessee,Hamblen County,64497
 Tennessee,Hamilton County,366837
 Tennessee,Hancock County,6660
 Tennessee,Hardeman County,25461
 Tennessee,Hardin County,26977
 Tennessee,Hawkins County,56723
 Tennessee,Haywood County,17861
 Tennessee,Henderson County,27840
 Tennessee,Henry County,32196
 Tennessee,Hickman County,24907
 Tennessee,Houston County,8284
 Tennessee,Humphreys County,18985
 Tennessee,Jackson County,11614
 Tennessee,Jefferson County,54681
 Tennessee,Johnson County,17952
 Tennessee,Knox County,478959
 Tennessee,Lake County,6999
 Tennessee,Lauderdale County,25140
 Tennessee,Lawrence County,44154
 Tennessee,Lewis County,12583
 Tennessee,Lincoln County,35324
 Tennessee,Loudon County,54891
 Tennessee,McMinn County,53274
 Tennessee,McNairy County,25855
 Tennessee,Macon County,25217
 Tennessee,Madison County,98832
 Tennessee,Marion County,28871
 Tennessee,Marshall County,34322
 Tennessee,Maury County,100974
 Tennessee,Meigs County,12756
 Tennessee,Monroe County,46250
 Tennessee,Montgomery County,220012
 Tennessee,Moore County,6463
 Tennessee,Morgan County,21036
 Tennessee,Obion County,30791
 Tennessee,Overton County,22505
 Tennessee,Perry County,8387
 Tennessee,Pickett County,5003
 Tennessee,Polk County,17544
 Tennessee,Putnam County,79858
 Tennessee,Rhea County,33220
 Tennessee,Roane County,53542
 Tennessee,Robertson County,72811
 Tennessee,Rutherford County,341478
 Tennessee,Scott County,21847
 Tennessee,Sequatchie County,15823
 Tennessee,Sevier County,98679
 Tennessee,Shelby County,930015
 Tennessee,Smith County,19908
 Tennessee,Stewart County,13658
 Tennessee,Sullivan County,158161
 Tennessee,Sumner County,196280
 Tennessee,Tipton County,60977
 Tennessee,Trousdale County,11609
 Tennessee,Unicoi County,17912
 Tennessee,Union County,19802
 Tennessee,Van Buren County,6169
 Tennessee,Warren County,40950
 Tennessee,Washington County,133005
 Tennessee,Wayne County,16231
 Tennessee,Weakley County,32899
 Tennessee,White County,27354
 Tennessee,Williamson County,247777
 Tennessee,Wilson County,147739
 Texas,Anderson County,57927
 Texas,Andrews County,18611
 Texas,Angelina County,86512
 Texas,Aransas County,23835
 Texas,Archer County,8554
 Texas,Armstrong County,1848
 Texas,Atascosa County,49134
 Texas,Austin County,30167
 Texas,Bailey County,6903
 Texas,Bandera County,20842
 Texas,Bastrop County,97230
 Texas,Baylor County,3465
 Texas,Bee County,31054
 Texas,Bell County,370790
 Texas,Bexar County,2009323
 Texas,Blanco County,11377
 Texas,Borden County,629
 Texas,Bosque County,18229
 Texas,Bowie County,92892
 Texas,Brazoria County,372040
 Texas,Brazos County,233849
 Texas,Brewster County,9547
 Texas,Briscoe County,1437
 Texas,Brooks County,7127
 Texas,Brown County,38107
 Texas,Burleson County,17642
 Texas,Burnet County,49123
 Texas,Caldwell County,45879
 Texas,Calhoun County,20104
 Texas,Callahan County,13710
 Texas,Cameron County,421126
 Texas,Camp County,12466
 Texas,Carson County,5801
 Texas,Cass County,28448
 Texas,Castro County,7372
 Texas,Chambers County,46543
 Texas,Cherokee County,50529
 Texas,Childress County,6667
 Texas,Clay County,10217
 Texas,Cochran County,2550
 Texas,Coke County,3305
 Texas,Coleman County,7682
 Texas,Collin County,1066331
 Texas,Collingsworth County,2653
 Texas,Colorado County,20640
 Texas,Comal County,161466
 Texas,Comanche County,13591
 Texas,Concho County,3300
 Texas,Cooke County,41669
 Texas,Coryell County,83088
 Texas,Cottle County,1380
 Texas,Crane County,4676
 Texas,Crockett County,3097
 Texas,Crosby County,5126
 Texas,Culberson County,2187
 Texas,Dallam County,7134
 Texas,Dallas County,2611995
 Texas,Dawson County,12457
 Texas,Deaf Smith County,18584
 Texas,Delta County,5226
 Texas,Denton County,906485
 Texas,DeWitt County,19828
 Texas,Dickens County,1771
 Texas,Dimmit County,8615
 Texas,Donley County,3262
 Texas,Duval County,9828
 Texas,Eastland County,17750
 Texas,Ector County,165182
 Texas,Edwards County,1423
 Texas,Ellis County,192451
 Texas,El Paso County,865710
 Texas,Erath County,42543
 Texas,Falls County,16969
 Texas,Fannin County,35837
 Texas,Fayette County,24473
 Texas,Fisher County,3672
 Texas,Floyd County,5401
 Texas,Foard County,1097
 Texas,Fort Bend County,822989
 Texas,Franklin County,10355
 Texas,Freestone County,19440
 Texas,Frio County,18391
 Texas,Gaines County,21602
 Texas,Galveston County,350686
 Texas,Garza County,5818
 Texas,Gillespie County,26743
 Texas,Glasscock County,1115
 Texas,Goliad County,7018
 Texas,Gonzales County,19657
 Texas,Gray County,21225
 Texas,Grayson County,135592
 Texas,Gregg County,124301
 Texas,Grimes County,29296
 Texas,Guadalupe County,172712
 Texas,Hale County,32526
 Texas,Hall County,2819
 Texas,Hamilton County,8220
 Texas,Hansford County,5273
 Texas,Hardeman County,3550
 Texas,Hardin County,56237
 Texas,Harris County,4731433
 Texas,Harrison County,68834
 Texas,Hartley County,5366
 Texas,Haskell County,5416
 Texas,Hays County,241069
 Texas,Hemphill County,3384
 Texas,Henderson County,82144
 Texas,Hidalgo County,870790
 Texas,Hill County,35867
 Texas,Hockley County,21534
 Texas,Hood County,61594
 Texas,Hopkins County,36790
 Texas,Houston County,22078
 Texas,Howard County,34860
 Texas,Hudspeth County,3202
 Texas,Hunt County,99949
 Texas,Hutchinson County,20620
 Texas,Irion County,1514
 Texas,Jack County,8473
 Texas,Jackson County,14990
 Texas,Jasper County,32980
 Texas,Jeff Davis County,1998
 Texas,Jefferson County,256543
 Texas,Jim Hogg County,4835
 Texas,Jim Wells County,38901
 Texas,Johnson County,179995
 Texas,Jones County,19663
 Texas,Karnes County,14771
 Texas,Kaufman County,145330
 Texas,Kendall County,44303
 Texas,Kenedy County,351
 Texas,Kent County,751
 Texas,Kerr County,52598
 Texas,Kimble County,4282
 Texas,King County,263
 Texas,Kinney County,3131
 Texas,Kleberg County,31040
 Texas,Knox County,3357
 Texas,Lamar County,50083
 Texas,Lamb County,13043
 Texas,Lampasas County,21625
 Texas,La Salle County,6660
 Texas,Lavaca County,20338
 Texas,Lee County,17482
 Texas,Leon County,15761
 Texas,Liberty County,91658
 Texas,Limestone County,22153
 Texas,Lipscomb County,3061
 Texas,Live Oak County,11330
 Texas,Llano County,21277
 Texas,Loving County,65
 Texas,Lubbock County,310635
 Texas,Lynn County,5590
 Texas,McCulloch County,7629
 Texas,McLennan County,260582
 Texas,McMullen County,599
 Texas,Madison County,13461
 Texas,Marion County,9843
 Texas,Martin County,5247
 Texas,Mason County,3951
 Texas,Matagorda County,36258
 Texas,Maverick County,57881
 Texas,Medina County,50857
 Texas,Menard County,1964
 Texas,Midland County,170340
 Texas,Milam County,24749
 Texas,Mills County,4455
 Texas,Mitchell County,8992
 Texas,Montague County,20011
 Texas,Montgomery County,620567
 Texas,Moore County,21363
 Texas,Morris County,11971
 Texas,Motley County,1064
 Texas,Nacogdoches County,64669
 Texas,Navarro County,52645
 Texas,Newton County,12218
 Texas,Nolan County,14741
 Texas,Nueces County,353357
 Texas,Ochiltree County,10013
 Texas,Oldham County,1758
 Texas,Orange County,84815
 Texas,Palo Pinto County,28408
 Texas,Panola County,22496
 Texas,Parker County,148221
 Texas,Parmer County,9870
 Texas,Pecos County,15193
 Texas,Polk County,50118
 Texas,Potter County,118557
 Texas,Presidio County,6131
 Texas,Rains County,12154
 Texas,Randall County,140741
 Texas,Reagan County,3427
 Texas,Real County,2758
 Texas,Red River County,11584
 Texas,Reeves County,14745
 Texas,Refugio County,6736
 Texas,Roberts County,829
 Texas,Robertson County,16754
 Texas,Rockwall County,107884
 Texas,Runnels County,9900
 Texas,Rusk County,52216
 Texas,Sabine County,9894
 Texas,San Augustine County,7923
 Texas,San Jacinto County,27400
 Texas,San Patricio County,68753
 Texas,San Saba County,5725
 Texas,Schleicher County,2452
 Texas,Scurry County,16910
 Texas,Shackelford County,3106
 Texas,Shelby County,24140
 Texas,Sherman County,2784
 Texas,Smith County,233480
 Texas,Somervell County,9205
 Texas,Starr County,65921
 Texas,Stephens County,9099
 Texas,Sterling County,1372
 Texas,Stonewall County,1245
 Texas,Sutton County,3374
 Texas,Swisher County,6973
 Texas,Tarrant County,2110999
 Texas,Taylor County,143238
 Texas,Terrell County,760
 Texas,Terry County,11827
 Texas,Throckmorton County,1441
 Texas,Titus County,31241
 Texas,Tom Green County,120005
 Texas,Travis County,1290151
 Texas,Trinity County,13604
 Texas,Tyler County,19817
 Texas,Upshur County,40886
 Texas,Upton County,3310
 Texas,Uvalde County,24566
 Texas,Val Verde County,47588
 Texas,Van Zandt County,59534
 Texas,Victoria County,91322
 Texas,Walker County,76408
 Texas,Waller County,56750
 Texas,Ward County,11643
 Texas,Washington County,35797
 Texas,Webb County,267114
 Texas,Wharton County,41590
 Texas,Wheeler County,4987
 Texas,Wichita County,129360
 Texas,Wilbarger County,12890
 Texas,Willacy County,20162
 Texas,Williamson County,609057
 Texas,Wilson County,49750
 Texas,Winkler County,7791
 Texas,Wise County,68618
 Texas,Wood County,44849
 Texas,Yoakum County,7691
 Texas,Young County,17864
 Texas,Zapata County,13888
 Texas,Zavala County,9667
 Utah,Beaver County,7073
 Utah,Box Elder County,57665
 Utah,Cache County,133152
 Utah,Carbon County,20407
 Utah,Daggett County,936
 Utah,Davis County,362681
 Utah,Duchesne County,19609
 Utah,Emery County,9826
 Utah,Garfield County,5081
 Utah,Grand County,9672
 Utah,Iron County,57281
 Utah,Juab County,11784
 Utah,Kane County,7661
 Utah,Millard County,12981
 Utah,Morgan County,12297
 Utah,Piute County,1442
 Utah,Rich County,2512
 Utah,Salt Lake County,1185234
 Utah,San Juan County,14508
 Utah,Sanpete County,28438
 Utah,Sevier County,21516
 Utah,Summit County,42361
 Utah,Tooele County,72700
 Utah,Uintah County,35613
 Utah,Utah County,659397
 Utah,Wasatch County,34787
 Utah,Washington County,180289
 Utah,Wayne County,2487
 Utah,Weber County,262218
 Vermont,Addison County,37360
 Vermont,Bennington County,37349
 Vermont,Caledonia County,30230
 Vermont,Chittenden County,168340
 Vermont,Essex County,5920
 Vermont,Franklin County,49951
 Vermont,Grand Isle County,7289
 Vermont,Lamoille County,25945
 Vermont,Orange County,29281
 Vermont,Orleans County,27396
 Vermont,Rutland County,60552
 Vermont,Washington County,59806
 Vermont,Windham County,45930
 Vermont,Windsor County,57733
 Virginia,Accomack County,33421
 Virginia,Albemarle County,112438
 Virginia,Alleghany County,15222
 Virginia,Amelia County,13260
 Virginia,Amherst County,31311
 Virginia,Appomattox County,16118
 Virginia,Arlington County,238646
 Virginia,Augusta County,77492
 Virginia,Bath County,4207
 Virginia,Bedford County,79483
 Virginia,Bland County,6272
 Virginia,Botetourt County,33592
 Virginia,Brunswick County,15851
 Virginia,Buchanan County,20346
 Virginia,Buckingham County,16832
 Virginia,Campbell County,55666
 Virginia,Caroline County,30887
 Virginia,Carroll County,29153
 Virginia,Charles City County,6771
 Virginia,Charlotte County,11530
 Virginia,Chesterfield County,364087
 Virginia,Clarke County,14788
 Virginia,Craig County,4896
 Virginia,Culpeper County,52546
 Virginia,Cumberland County,9689
 Virginia,Dickenson County,14130
 Virginia,Dinwiddie County,27936
 Virginia,Essex County,10599
 Virginia,Fairfax County,1150292
 Virginia,Fauquier County,72964
 Virginia,Floyd County,15476
 Virginia,Fluvanna County,27250
 Virginia,Franklin County,54457
 Virginia,Frederick County,91451
 Virginia,Giles County,16790
 Virginia,Gloucester County,38714
 Virginia,Goochland County,24746
 Virginia,Grayson County,15332
 Virginia,Greene County,20554
 Virginia,Greensville County,11400
 Virginia,Halifax County,34023
 Virginia,Hanover County,109976
 Virginia,Henrico County,334961
 Virginia,Henry County,50945
 Virginia,Highland County,2232
 Virginia,Isle of Wight County,38611
 Virginia,James City County,78252
 Virginia,King and Queen County,6607
 Virginia,King George County,26724
 Virginia,King William County,17813
 Virginia,Lancaster County,10925
 Virginia,Lee County,22172
 Virginia,Loudoun County,420955
 Virginia,Louisa County,37583
 Virginia,Lunenburg County,11939
 Virginia,Madison County,13840
 Virginia,Mathews County,8534
 Virginia,Mecklenburg County,30315
 Virginia,Middlesex County,10621
 Virginia,Montgomery County,99725
 Virginia,Nelson County,14770
 Virginia,New Kent County,22946
 Virginia,Northampton County,12280
 Virginia,Northumberland County,11835
 Virginia,Nottoway County,15646
 Virginia,Orange County,36183
 Virginia,Page County,23706
 Virginia,Patrick County,17606
 Virginia,Pittsylvania County,60509
 Virginia,Powhatan County,30342
 Virginia,Prince Edward County,21836
 Virginia,Prince George County,43006
 Virginia,Prince William County,482209
 Virginia,Pulaski County,33790
 Virginia,Rappahannock County,7351
 Virginia,Richmond County,8917
 Virginia,Roanoke County,96956
 Virginia,Rockbridge County,22658
 Virginia,Rockingham County,83765
 Virginia,Russell County,25781
 Virginia,Scott County,21566
 Virginia,Shenandoah County,44179
 Virginia,Smyth County,29793
 Virginia,Southampton County,17997
 Virginia,Spotsylvania County,140095
 Virginia,Stafford County,156937
 Virginia,Surry County,6558
 Virginia,Sussex County,10838
 Virginia,Tazewell County,40440
 Virginia,Warren County,40724
 Virginia,Washington County,53940
 Virginia,Westmoreland County,18471
 Virginia,Wise County,36118
 Virginia,Wythe County,28288
 Virginia,York County,70054
 Virginia,Alexandria city,159463
 Virginia,Bristol city,17222
 Virginia,Buena Vista city,6641
 Virginia,Charlottesville city,46513
 Virginia,Chesapeake city,249302
 Virginia,Colonial Heights city,18146
 Virginia,Covington city,5746
 Virginia,Danville city,42586
 Virginia,Emporia city,5751
 Virginia,Fairfax city,24147
 Virginia,Falls Church city,14657
 Virginia,Franklin city,8177
 Virginia,Fredericksburg city,27976
 Virginia,Galax city,6727
 Virginia,Hampton city,137154
 Virginia,Harrisonburg city,51811
 Virginia,Hopewell city,23032
 Virginia,Lexington city,7311
 Virginia,Lynchburg city,79017
 Virginia,Manassas city,42773
 Virginia,Manassas Park city,17218
 Virginia,Martinsville city,13482
 Virginia,Newport News city,186239
 Virginia,Norfolk city,238029
 Virginia,Norton city,3696
 Virginia,Petersburg city,33465
 Virginia,Poquoson city,12454
 Virginia,Portsmouth city,97945
 Virginia,Radford city,16063
 Virginia,Richmond city,226525
 Virginia,Roanoke city,100016
 Virginia,Salem city,25341
 Virginia,Staunton city,25751
 Virginia,Suffolk city,94406
 Virginia,Virginia Beach city,459444
 Virginia,Waynesboro city,22193
 Virginia,Williamsburg city,15416
 Virginia,Winchester city,28115
 Washington,Adams County,20610
 Washington,Asotin County,22288
 Washington,Benton County,206869
 Washington,Chelan County,79144
 Washington,Clallam County,77159
 Washington,Clark County,503308
 Washington,Columbia County,3954
 Washington,Cowlitz County,110736
 Washington,Douglas County,42933
 Washington,Ferry County,7179
 Washington,Franklin County,96747
 Washington,Garfield County,2287
 Washington,Grant County,99125
 Washington,Grays Harbor County,75639
 Washington,Island County,86859
 Washington,Jefferson County,32970
 Washington,King County,2269666
 Washington,Kitsap County,275618
 Washington,Kittitas County,46535
 Washington,Klickitat County,22735
 Washington,Lewis County,82151
 Washington,Lincoln County,10878
 Washington,Mason County,65718
 Washington,Okanogan County,42097
 Washington,Pacific County,23363
 Washington,Pend Oreille County,13401
 Washington,Pierce County,921162
 Washington,San Juan County,17786
 Washington,Skagit County,129518
 Washington,Skamania County,12036
 Washington,Snohomish County,827955
 Washington,Spokane County,539346
 Washington,Stevens County,46446
 Washington,Thurston County,294802
 Washington,Wahkiakum County,4424
 Washington,Walla Walla County,62587
 Washington,Whatcom County,226844
 Washington,Whitman County,47979
 Washington,Yakima County,256732
 West Virginia,Barbour County,15459
 West Virginia,Berkeley County,122070
 West Virginia,Boone County,21810
 West Virginia,Braxton County,12446
 West Virginia,Brooke County,22558
 West Virginia,Cabell County,94350
 West Virginia,Calhoun County,6224
 West Virginia,Clay County,8055
 West Virginia,Doddridge County,7810
 West Virginia,Fayette County,40499
 West Virginia,Gilmer County,7418
 West Virginia,Grant County,10980
 West Virginia,Greenbrier County,32983
 West Virginia,Hampshire County,23077
 West Virginia,Hancock County,29098
 West Virginia,Hardy County,14297
 West Virginia,Harrison County,65915
 West Virginia,Jackson County,27793
 West Virginia,Jefferson County,57703
 West Virginia,Kanawha County,180721
 West Virginia,Lewis County,17030
 West Virginia,Lincoln County,20460
 West Virginia,Logan County,32573
 West Virginia,McDowell County,19119
 West Virginia,Marion County,56210
 West Virginia,Marshall County,30617
 West Virginia,Mason County,25459
 West Virginia,Mercer County,59654
 West Virginia,Mineral County,26942
 West Virginia,Mingo County,23571
 West Virginia,Monongalia County,105823
 West Virginia,Monroe County,12379
 West Virginia,Morgan County,17064
 West Virginia,Nicholas County,24607
 West Virginia,Ohio County,42405
 West Virginia,Pendleton County,6141
 West Virginia,Pleasants County,7653
 West Virginia,Pocahontas County,7873
 West Virginia,Preston County,34215
 West Virginia,Putnam County,57436
 West Virginia,Raleigh County,74592
 West Virginia,Randolph County,27932
 West Virginia,Ritchie County,8445
 West Virginia,Roane County,14024
 West Virginia,Summers County,11967
 West Virginia,Taylor County,16706
 West Virginia,Tucker County,6764
 West Virginia,Tyler County,8305
 West Virginia,Upshur County,23818
 West Virginia,Wayne County,38980
 West Virginia,Webster County,8375
 West Virginia,Wetzel County,14458
 West Virginia,Wirt County,5196
 West Virginia,Wood County,84293
