Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Ariel Hukporti,22,NYK,25,51,11,1,15,21,48
Enrique Freeman,24,IND,22,30,9,3,3,6,46
Kevin Knox,25,GSW,14,17,5,2,4,4,46
Keshad Johnson,23,MIA,16,28,4,5,4,4,43
Daeqwon Plowden,26,ATL,6,11,2,0,0,4,43
Jaylen Sims,26,CHO,6,6,12,3,1,8,42
Pete Nance,24,2TM,13,21,10,2,2,4,38
Emoni Bates,21,CLE,10,7,8,1,1,2,37
Chris Duarte,27,CHI,17,20,9,0,0,1,36
Alex Ducas,24,OKC,21,26,5,5,0,4,36
Yuki Kawamura,23,MEM,22,12,19,2,0,5,36
Nae'Qwan Tomlin,24,CLE,5,21,2,0,1,2,36
Isaiah Jackson,23,IND,5,28,5,3,8,5,35
TyTy Washington Jr.,23,PHO,16,13,16,3,0,3,35
Xavier Tillman Sr.,26,BOS,33,43,7,11,5,14,34
Kylor Kelley,27,2TM,11,39,5,1,3,4,34
JD Davison,22,BOS,16,13,13,5,1,13,33
PJ Hall,22,DEN,19,22,4,0,4,2,33
Trey Alexander,21,DEN,24,12,11,2,1,5,32
Elijah Harkless,24,UTA,10,21,8,10,1,3,32
Josh Richardson,31,MIA,8,12,12,8,1,8,32
Sidy Cissoko,20,2TM,22,21,15,2,1,11,32
Pacome Dadiet,19,NYK,18,18,5,3,2,4,30
RayJ Dennis,23,IND,11,12,14,7,2,5,30
Chris Livingston,21,MIL,21,35,5,5,0,6,30
Josh Christopher,23,MIA,14,9,8,5,3,6,28
Marcus Garrett,26,CHO,4,6,13,3,2,6,28
Matt Ryan,27,NYK,19,8,3,2,0,3,28
Spencer Jones,23,DEN,20,17,5,5,5,5,26
Vlatko Čančar,27,DEN,13,32,9,3,2,11,24
N'Faly Dante,23,HOU,4,21,2,1,5,2,24
Jazian Gortman,21,DAL,16,5,6,2,1,5,24
Jae Crowder,34,SAC,9,20,6,3,0,4,23
Mason Jones,26,SAC,10,9,11,0,1,1,23
Jacob Toppin,24,2TM,17,15,6,2,0,3,23
Jackson Rowe,28,GSW,6,11,4,4,0,1,22
E.J. Liddell,24,CHI,12,9,3,1,1,2,21
Leonard Miller,21,MIN,13,11,0,2,1,2,20
Cam Christie,19,LAC,13,12,6,5,1,2,18
Justin Minaya,25,POR,19,10,7,6,1,5,18
Jamaree Bouyea,25,MIL,5,5,10,4,2,8,17
David Duke Jr.,25,SAS,6,5,4,1,0,2,16
Malachi Flynn,26,CHO,4,7,7,3,0,4,16
Joe Ingles,37,MIN,19,11,23,2,0,9,15
Bobi Klintman,21,DET,8,7,7,2,1,1,15
Stanley Umude,25,MIL,22,17,4,3,6,3,15
Taylor Hendricks,21,UTA,3,15,2,5,4,2,14
Jack McVeigh,28,HOU,9,5,1,0,2,2,14
Tolu Smith,24,DET,1,8,0,0,0,2,14
Armel Traoré,22,LAL,9,15,1,4,2,3,14
Isaiah Crawford,23,SAC,15,8,1,1,2,1,13
Bryce McGowens,22,POR,13,3,2,1,0,4,13
Luke Travers,23,CLE,12,20,8,1,1,8,12
Trentyn Flowers,19,LAC,6,4,0,0,0,1,11
Jahmir Young,24,CHI,6,3,6,0,0,1,11
Emanuel Miller,24,CHI,6,8,2,1,0,0,10
Jalen Bridges,23,PHO,8,4,0,0,0,4,9
Liam Robbins,25,MIL,13,12,2,2,2,6,9
P.J. Tucker,39,NYK,3,8,0,1,1,1,9
James Johnson,37,IND,12,6,4,0,2,4,8
Adama Sanogo,22,CHI,4,6,1,0,0,1,8
Anton Watson,24,NYK,9,3,2,1,0,2,8
Phillip Wheeler,22,PHI,5,8,2,1,2,1,8
PJ Dozier,28,MIN,9,5,5,1,0,1,7
Daniss Jenkins,23,DET,7,2,3,0,0,1,7
Miles Norris,24,BOS,3,9,0,2,1,0,7
Kevin McCullar Jr.,23,NYK,4,8,2,1,1,0,6
Isaiah Mobley,25,PHI,1,4,5,1,1,0,6
Taze Moore,26,POR,2,8,1,2,0,2,6
James Wiseman,23,IND,1,1,0,0,0,0,6
Ulrich Chomche,19,TOR,7,8,2,0,1,2,5
Skal Labissière,28,SAC,4,3,1,0,0,0,5
Alondes Williams,25,DET,1,0,1,0,0,0,5
Ron Harper Jr.,24,DET,1,7,2,0,0,0,4
Harrison Ingram,22,SAS,5,9,3,3,0,1,4
D.J. Carton,24,TOR,4,4,3,2,0,4,3
Cui Yongxi,21,BRK,5,2,0,0,0,0,3
Braxton Key,27,GSW,3,2,0,2,0,1,3
Tristen Newton,23,2TM,8,4,2,1,0,2,3
Quincy Olivari,23,LAL,2,0,1,0,0,1,3
Yuri Collins,23,GSW,2,3,4,2,0,0,2
Malevy Leons,25,OKC,6,3,1,0,0,1,2
Daishen Nix,22,MIN,3,4,3,0,0,4,1
Terence Davis,27,SAC,1,1,1,0,0,0,0
Jesse Edwards,24,MIN,2,0,1,0,0,0,0
Mac McClung,26,ORL,2,1,3,0,0,0,0
Jalen McDaniels,27,WAS,4,0,1,1,0,0,0
Riley Minix,24,SAS,1,2,0,0,0,0,0
Jahlil Okafor,29,IND,1,1,1,0,0,0,0
Zyon Pullin,23,MEM,3,0,0,0,0,0,0
Isaiah Stevens,24,MIA,3,2,0,1,0,0,0
Terry Taylor,25,SAC,3,1,2,0,0,0,0
