Name,Age,Team,Games,Rebounds,Assists,Steals,Blocks,Turnovers,Points
Tim Hardaway Jr.,32,DET,77,183,123,38,7,48,844
Fred VanVleet,30,HOU,60,221,333,94,25,87,844
Jonas Valančiūnas,32,2TM,81,627,164,37,46,120,843
Keon Johnson,22,BRK,79,297,175,82,30,116,839
Scoot Henderson,20,POR,66,198,335,68,13,177,837
P.J. Washington,26,DAL,57,442,131,63,60,118,836
Obi Toppin,26,IND,79,318,128,46,28,68,833
Tyus Jones,28,PHO,81,196,429,69,8,91,829
Jakob Poeltl,29,TOR,57,547,158,66,71,111,824
Gary Trent Jr.,26,MIL,74,168,87,72,4,42,824
Jaylen Wells,21,MEM,79,268,135,44,8,69,823
Kristaps Porziņģis,29,BOS,42,284,87,31,63,53,818
Duncan Robinson,30,MIA,74,167,176,40,6,86,817
Julian Champagnie,23,SAS,82,318,111,61,35,74,815
Santi Aldama,24,MEM,65,416,188,52,29,71,811
Bub Carrington,19,WAS,82,341,364,54,21,141,807
Kawhi Leonard,33,LAC,37,219,116,59,17,72,796
Georges Niang,31,2TM,79,272,111,28,14,82,784
Derrick Jones Jr.,27,LAC,77,263,60,79,33,66,781
Scotty Pippen Jr.,24,MEM,79,259,347,103,30,138,779
Gradey Dick,21,TOR,54,193,98,48,10,83,777
Caris LeVert,30,2TM,64,203,215,57,33,76,776
Rui Hachimura,26,LAL,59,295,83,45,26,49,775
Nickeil Alexander-Walker,26,MIN,82,265,223,50,34,99,773
Brice Sensabaugh,21,UTA,71,210,110,46,8,107,772
Kevin Porter Jr.,24,2TM,75,278,256,81,13,136,771
Guerschon Yabusele,29,PHI,70,395,148,58,24,87,768
John Collins,27,UTA,40,327,80,39,40,103,758
Isaiah Joe,25,OKC,74,196,119,48,9,38,756
Jalen Wilson,24,BRK,79,270,145,40,5,79,749
Max Christie,21,2TM,78,258,146,64,31,88,749
Aaron Gordon,29,DEN,51,247,164,23,14,73,748
Brandin Podziemski,21,GSW,64,325,220,69,13,75,747
Zion Williamson,24,NOP,30,216,159,37,27,90,737
Anthony Black,21,ORL,78,230,240,86,48,139,736
D'Angelo Russell,28,2TM,58,162,297,56,23,108,732
Bilal Coulibaly,20,WAS,59,294,199,78,41,125,727
Nic Claxton,25,BRK,70,515,157,62,100,87,724
Moses Moody,22,GSW,74,189,96,59,31,54,724
Donte DiVincenzo,28,MIN,62,228,225,73,17,99,723
Chris Paul,39,SAS,82,296,605,103,22,129,723
T.J. McConnell,32,IND,79,193,351,83,21,109,720
Luguentz Dort,25,OKC,71,293,115,79,39,51,719
Jonathan Kuminga,22,GSW,47,217,104,38,21,71,719
Dalton Knecht,23,LAL,78,216,66,24,8,37,706
Corey Kispert,25,WAS,61,181,103,26,14,64,705
Daniel Gafford,26,DAL,57,388,80,23,102,66,701
Jabari Smith Jr.,21,HOU,57,399,60,25,41,61,698
Amir Coffey,27,LAC,72,161,77,40,7,45,696
Kyle Filipowski,21,UTA,72,440,140,48,22,102,690
Matas Buzelis,20,CHI,80,278,79,29,75,74,688
Tari Eason,23,HOU,57,362,83,97,50,65,686
Jrue Holiday,34,BOS,62,265,239,66,27,77,686
Kevin Huerter,26,2TM,69,205,156,66,23,67,681
Grayson Allen,29,PHO,64,194,137,54,19,75,680
Jalen Johnson,23,ATL,36,359,181,56,36,106,680
Royce O'Neale,31,PHO,75,349,163,67,34,65,680
Bobby Portis,29,MIL,49,411,104,35,26,57,680
Terry Rozier,30,MIA,64,238,167,37,14,78,679
Jerami Grant,30,POR,47,163,101,41,46,65,677
Kentavious Caldwell-Pope,31,ORL,77,169,136,99,34,62,673
Mark Williams,23,CHO,44,447,109,32,54,71,671
Ochai Agbaji,24,TOR,64,242,98,58,30,54,667
Keon Ellis,25,SAC,80,212,120,121,63,71,666
Paul George,34,PHI,41,219,178,75,20,106,665
Yves Missi,20,NOP,73,601,99,37,98,82,665
Taurean Prince,30,MIL,80,287,155,76,15,82,656
Andrew Nembhard,25,IND,65,216,326,79,11,112,653
Walker Kessler,23,UTA,58,707,97,36,138,86,641
Isaiah Hartenstein,26,OKC,57,611,219,47,62,96,637
Ziaire Williams,23,BRK,63,287,84,62,28,67,632
Cole Anthony,24,ORL,67,204,191,45,32,103,630
Wendell Carter Jr.,25,ORL,68,492,134,52,41,77,618
Jeremy Sochan,21,SAS,54,352,128,45,27,84,617
Isaiah Collier,20,UTA,71,235,446,66,16,208,615
Draymond Green,34,GSW,68,414,383,99,70,174,613
Miles McBride,24,NYK,64,161,187,67,17,41,611
Zach Edey,22,MEM,66,548,65,36,85,88,610
Sam Hauser,27,BOS,71,224,64,41,13,23,605
Jordan Hawkins,22,NOP,56,158,66,30,23,58,604
Jordan Clarkson,32,UTA,37,118,138,31,9,86,600
Cam Thomas,23,BRK,25,83,94,15,2,62,599
Kel'el Ware,20,MIA,64,473,60,39,71,57,595
Ausar Thompson,22,DET,59,303,134,98,40,80,594
Nick Smith Jr.,20,CHO,60,128,145,17,6,82,591
Kyshawn George,21,WAS,68,285,169,68,50,97,590
Julian Strawther,22,DEN,65,142,83,39,16,57,588
