organization_group_code,job_family_code,job_code,year_type,year,organization_group,department_code,department,union_code,union,job_family,job,employee_identifier,salaries,overtime,other_salaries,total_salary,retirement,health_and_dental,other_benefits,total_benefits,total_compensation
2,7300,7344,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,236,"Carpenters, Local 22",Journeyman Trade,Carpenter,50862228,113859.42,156.93,2757.5,116773.85,21353.93,18344.16,9203.29,48901.38,165675.23
2,1000,1041,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,21,"Prof & Tech Eng, Local 21",Information Systems,IS Engineer-Assistant,54206828,134119.52,0.0,0.0,134119.52,24556.75,16263.35,10492.4,51312.5,185432.02
2,5200,5290,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,21,"Prof & Tech Eng, Local 21",Professional Engineering,Transportation Planner IV,50868863,165434.88,0.0,273.8,165708.68,29482.34,16263.35,12199.62,57945.31,223653.99
6,1800,1835,Fiscal,2023,General Administration & Finance,BOS,Board Of Supervisors,22,"Prof & Tech Eng, Local 21","Budget, Admn & Stats Analysis",Legislative Assistant,52667007,55011.0,0.0,600.0,55611.0,10126.78,6880.65,4172.38,21179.81,76790.81
6,1800,1835,Fiscal,2023,General Administration & Finance,BOS,Board Of Supervisors,22,"Prof & Tech Eng, Local 21","Budget, Admn & Stats Analysis",Legislative Assistant,51866550,102919.62,0.0,0.0,102919.62,16283.4,12260.06,5967.71,34511.17,137430.79
6,8100,8177,Fiscal,2023,General Administration & Finance,CAT,City Attorney,311,Municipal Attorneys Assoc,Legal & Court,Attorney (Civil/Criminal),52876992,61557.0,0.0,0.0,61557.0,0.0,6179.57,4776.55,10956.12,72513.12
6,8100,8177,Fiscal,2023,General Administration & Finance,CAT,City Attorney,311,Municipal Attorneys Assoc,Legal & Court,Attorney (Civil/Criminal),51006552,215957.82,0.0,0.0,215957.82,38479.19,17852.1,13532.84,69864.13,285821.95
6,1800,1842,Fiscal,2023,General Administration & Finance,CON,Controller,790,"SEIU, Local 1021, Misc","Budget, Admn & Stats Analysis",Management Assistant,51846682,106571.63,0.0,0.0,106571.63,19513.76,16796.12,8399.07,44708.95,151280.58
6,5200,5293,Fiscal,2023,General Administration & Finance,CPC,City Planning,21,"Prof & Tech Eng, Local 21",Professional Engineering,Planner IV,52546859,153094.13,0.0,0.0,153094.13,27324.49,16263.35,11729.61,55317.45,208411.58
6,1400,1452,Fiscal,2023,General Administration & Finance,ADM,Administrative Services,22,"Prof & Tech Eng, Local 21","Clerical, Secretarial & Steno",Executive Secretary 2,50854001,107195.66,0.0,0.0,107195.66,19628.62,16263.35,8224.24,44116.21,151311.87
2,0900,0941,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,351,"Municipal Exec Assoc, Misc",Management,Manager VI,53166864,226053.6,0.0,2256.02,228309.62,40683.74,20882.62,13456.34,75022.7,303332.32
2,9200,9220,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU, Local 1021, Misc",Airport Operation,Aviation Security Ops Sup,50847690,135957.12,27536.8,12782.87,176276.79,27239.23,16662.88,12453.09,56355.2,232631.99
2,0900,0932,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,351,"Municipal Exec Assoc, Misc",Management,Manager IV,50936851,208634.67,0.0,4183.92,212818.59,37922.26,22476.42,13649.92,74048.6,286867.19
2,9100,9144,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,200,"TWU, Local 200",Street Transit,"Investigator,Taxi & AccessSvcs",50852517,118119.76,5562.22,8649.25,132331.23,23229.05,15735.42,10287.33,49251.8,181583.03
2,1000,1054,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,21,"Prof & Tech Eng, Local 21",Information Systems,IS Business Analyst-Principal,52036839,170827.4,0.0,130.0,170957.4,30443.16,0.0,12348.15,42791.31,213748.71
2,7300,7316,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,38,"Plumbers, Local 38",Journeyman Trade,Water Service Inspector,54216999,18900.0,0.0,453.6,19353.6,3482.99,3033.69,1484.73,8001.41,27355.01
2,7300,7355,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,216,"Teamsters, Local 853",Journeyman Trade,Truck Driver,53637657,11262.88,0.0,346.5,11609.38,2114.07,2107.81,896.81,5118.69,16728.07
6,7300,7381,Fiscal,2023,General Administration & Finance,ADM,Administrative Services,130,"Auto Machinist, Local 1414",Journeyman Trade,Automotive Mechanic,53676911,107325.63,1241.71,60.0,108627.34,19663.34,19358.72,8422.58,47444.64,156071.98
6,1800,1840,Fiscal,2023,General Administration & Finance,ADM,Administrative Services,790,"SEIU, Local 1021, Misc","Budget, Admn & Stats Analysis",Junior Management Assistant,54096825,80323.2,0.0,0.0,80323.2,14836.9,16796.12,6362.56,37995.58,118318.78
2,9200,9236,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU, Local 1021, Misc",Airport Operation,Airport Ground Transport Tech,51956851,15233.92,0.0,175.2,15409.12,2888.65,3191.26,1271.13,7351.04,22760.16
2,2700,2708,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU, Local 1021, Misc",Housekeeping & Laundry,Custodian,50874779,74301.5,17303.12,1016.0,92620.62,13796.42,16796.12,7259.0,37851.54,130472.16
2,2700,2708,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU, Local 1021, Misc",Housekeeping & Laundry,Custodian,50876645,74315.8,18592.64,1017.6,93926.04,13793.91,16796.12,7333.87,37923.9,131849.94
2,2700,2708,Fiscal,2023,"Public Works, Transportation & Commerce",AIR,Airport Commission,790,"SEIU, Local 1021, Misc",Housekeeping & Laundry,Custodian,50875604,74315.8,11625.94,5542.65,91484.39,14624.07,16796.12,6860.46,38280.65,129765.04
5,1800,1823,Fiscal,2023,Culture & Recreation,ART,Art Commission,21,"Prof & Tech Eng, Local 21","Budget, Admn & Stats Analysis",Senior Administrative Analyst,50875663,134084.92,0.0,0.0,134084.92,24518.66,15185.41,10565.79,50269.86,184354.78
6,8100,8177,Fiscal,2023,General Administration & Finance,CAT,City Attorney,311,Municipal Attorneys Assoc,Legal & Court,Attorney (Civil/Criminal),51206683,244143.62,0.0,0.0,244143.62,43507.13,1183.52,13852.25,58542.9,302686.52
