organization_group_code,job_family_code,job_code,year_type,year,organization_group,department_code,department,union_code,union,job_family,job,employee_identifier,salaries,overtime,other_salaries,total_salary,retirement,health_and_dental,other_benefits,total_benefits,total_compensation
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,54207052,89705.73,18387.1,5642.5,113735.33,17108.9,13343.16,2585.75,33037.81,146773.14
6,1800,1801,Fiscal,2023,General Administration & Finance,HRD,Human Resources,21,"Prof & Tech Eng, Local 21","Budget, Admn & Stats Analysis",Analyst Trainee,51927011,53521.41,0.0,0.0,53521.41,11036.19,13385.99,4190.99,28613.17,82134.58
2,5200,5265,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Architectural Associate 1,50846631,6780.2,0.0,18556.56,25336.76,1368.25,1789.3,1963.27,5120.82,30457.58
2,5200,5241,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Engineer,53637316,184129.6,0.0,0.0,184129.6,32803.19,16263.35,12597.47,61664.01,245793.61
2,5200,5268,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Architect,50857590,180550.63,0.0,267.85,180818.48,32221.05,16263.35,12582.51,61066.91,241885.39
2,1600,1222,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,790,"SEIU, Local 1021, Misc","Payroll, Billing & Accounting",Sr Payroll & Personnel Clerk,53637378,98745.8,3065.23,750.0,102561.03,18214.37,16796.12,8098.83,43109.32,145670.35
2,9900,9916,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,261,"Laborers, Local 261",Public Service Aide,Public Svc Aide-Public Works,54206851,43754.0,256.95,1627.9,45638.85,9426.39,16186.92,3532.1,29145.41,74784.26
2,5200,5268,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Architect,54026870,180550.62,0.0,750.0,181300.62,32173.6,16263.35,12605.67,61042.62,242343.24
3,5600,5640,Fiscal,2023,Human Welfare & Neighborhood Development,ENV,Environment,21,"Prof & Tech Eng, Local 21",Energy & Environment,Environmental Spec,52876848,111001.7,0.0,0.0,111001.7,20323.48,16263.35,8696.85,45283.68,156285.38
1,H000,H020,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Lieutenant, Fire Suppression",51398314,157511.52,17710.81,37125.84,212348.17,32628.74,19482.0,3172.34,55283.08,267631.25
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51397594,73420.7,0.0,2771.86,76192.56,14018.98,9089.74,589.65,23698.37,99890.93
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,52166915,120798.46,13648.64,11864.66,146311.76,24018.42,14684.32,1385.65,40088.39,186400.15
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51397743,110836.12,6058.71,5206.17,122101.0,21189.99,948.62,1811.2,23949.81,146050.81
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,52486958,28051.28,1948.28,4751.53,34751.09,4593.56,0.0,2387.97,6981.53,41732.62
2,5200,5211,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Eng/Arch/Landscape Arch Sr,50862412,213044.92,0.0,0.0,213044.92,37963.99,16263.35,13142.77,67370.11,280415.03
2,1600,1654,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21","Payroll, Billing & Accounting",Accountant III,53636958,130506.31,0.0,0.0,130506.31,23889.78,16263.35,10176.64,50329.77,180836.08
2,1800,1824,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21","Budget, Admn & Stats Analysis",Pr Administrative Analyst,53236865,129403.1,0.0,0.0,129403.1,23693.3,16263.35,9922.3,49878.95,179282.05
1,H000,H030,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Captain, Fire Suppression",51398204,181537.05,30981.06,45935.28,258453.39,36525.46,19667.54,3842.72,60035.72,318489.11
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,52686830,125183.05,3435.36,18123.8,146742.21,24901.49,12639.64,2242.16,39783.29,186525.5
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51996827,94625.54,6014.08,5799.94,106439.56,18226.0,12644.67,1560.61,32431.28,138870.84
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51976849,352.8,0.0,658.19,1010.99,80.68,12160.6,14.91,12256.19,13267.18
4,2300,2312,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Nursing,Licensed Vocational Nurse,50878882,2801.07,0.0,492.15,3293.22,606.73,519.71,274.33,1400.77,4693.99
4,2300,2320,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Registered Nurse,53306979,34333.2,1293.85,7616.65,43243.7,1592.95,4502.65,3330.49,9426.09,52669.79
4,2300,2312,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Nursing,Licensed Vocational Nurse,53507122,8139.86,818.01,18.92,8976.79,1485.71,1667.74,688.38,3841.83,12818.62
2,1200,1241,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,22,"Prof & Tech Eng, Local 21",Personnel,Human Resources Analyst,53637424,109870.03,0.0,0.0,109870.03,20094.14,16263.35,8498.24,44855.73,154725.76
2,6300,6318,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Construction Inspection,Construction Inspector,54297276,133514.23,0.0,0.0,133514.23,24447.79,16263.35,10345.22,51056.36,184570.59
2,7200,7233,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,718,"Glaziers, Local 718",Supervisory-Labor & Trade,Glazier Supervisor 1,50882156,140490.41,203.19,24.0,140717.6,25041.08,1233.93,10992.07,37267.08,177984.68
3,5600,5640,Fiscal,2023,Human Welfare & Neighborhood Development,ENV,Environment,21,"Prof & Tech Eng, Local 21",Energy & Environment,Environmental Spec,52216906,40662.6,0.0,0.0,40662.6,7510.86,6317.69,3148.69,16977.24,57639.84
1,H000,H033,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Captain, Emergency Med Svcs",51398273,180738.03,427.52,16266.41,197431.96,34161.19,16080.38,3007.03,53248.6,250680.56
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51398474,158103.9,68303.68,15030.83,241438.41,30034.43,19660.9,3630.68,53326.01,294764.42
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51398473,158157.54,32971.74,31941.94,223071.22,31847.13,19667.54,3312.58,54827.25,277898.47
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51398075,156746.62,43663.06,25220.56,225630.24,33297.66,19482.0,3405.01,56184.67,281814.91
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,53736834,128833.51,49401.06,30267.46,208502.03,27294.87,19353.04,3156.73,49804.64,258306.67
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,54256857,92840.02,30681.25,11794.42,135315.69,18519.71,19659.81,2045.02,40224.54,175540.23
4,2500,2587,Fiscal,2023,Community Health,DPH,Public Health,790,"SEIU, Local 1021, Misc",Med Therapy & Auxiliary,Health Worker 3,53406911,76944.18,0.0,1000.0,77944.18,14088.63,16763.82,6163.56,37016.01,114960.19
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,53006987,157826.38,6523.27,27316.94,191666.59,0.0,0.0,14511.49,14511.49,206178.08
4,2500,2586,Fiscal,2023,Community Health,DPH,Public Health,790,"SEIU, Local 1021, Misc",Med Therapy & Auxiliary,Health Worker 2,53637653,7432.7,0.0,0.0,7432.7,0.0,1873.42,578.95,2452.37,9885.07
2,7300,7326,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,718,"Glaziers, Local 718",Journeyman Trade,Glazier,53686967,54575.21,0.0,451.5,55026.71,2432.13,7458.06,4145.29,14035.48,69062.19
6,0900,0951,Fiscal,2023,General Administration & Finance,ETH,Ethics Commission,351,"Municipal Exec Assoc, Misc",Management,Dep Dir I,52996823,146987.79,0.0,6500.0,153487.79,27315.57,13445.68,12506.28,53267.53,206755.32
1,H000,H020,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Lieutenant, Fire Suppression",51398213,149245.52,128653.77,22677.4,300576.69,28325.25,16884.4,4600.52,49810.17,350386.86
1,H000,H020,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Lieutenant, Fire Suppression",51397322,159016.59,107678.81,22954.6,289650.0,31554.64,19667.54,4376.87,55599.05,345249.05
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,53636861,135999.36,49494.66,17007.28,202501.3,27457.93,19482.0,2998.49,49938.42,252439.72
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51606622,19000.8,0.0,0.0,19000.8,3392.24,3463.47,1434.15,8289.86,27290.66
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,52167077,83875.49,18386.76,5825.66,108087.91,15776.66,17162.72,3755.83,36695.21,144783.12
4,2400,2450,Fiscal,2023,Community Health,DPH,Public Health,790,"SEIU, Local 1021, Misc","Lab, Pharmacy & Med Techs",Pharmacist,53896947,172267.87,808.21,9040.84,182116.92,32107.31,15335.83,12892.28,60335.42,242452.34
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,53756913,5164.9,3516.11,834.33,9515.34,0.0,0.0,722.69,722.69,10238.03
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,51536681,69961.14,5082.56,12635.51,87679.21,0.0,0.0,6659.24,6659.24,94338.45
2,1000,1044,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Information Systems,IS Engineer-Principal,52556840,207206.61,0.0,1846.77,209053.38,36912.82,16263.35,12481.52,65657.69,274711.07
1,H000,H030,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Captain, Fire Suppression",51398030,181537.05,148442.49,31865.15,361844.69,37016.72,19667.54,5466.36,62150.62,423995.31
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51397824,136835.4,122997.75,27247.48,287080.63,28995.78,19667.54,4142.72,52806.04,339886.67
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,52096915,134470.72,25689.79,13846.55,174007.06,26284.08,19049.06,2516.34,47849.48,221856.54
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51696474,127268.97,124643.18,14757.39,266669.54,24935.69,19482.0,4040.3,48457.99,315127.53
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,50854762,153958.06,32472.16,24895.75,211325.97,0.0,0.0,15170.37,15170.37,226496.34
4,2300,2303,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Nursing,Patient Care Assistant,53196859,68833.01,14372.48,6675.29,89880.78,13595.67,16234.9,6667.05,36497.62,126378.4
2,0900,0922,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,351,"Municipal Exec Assoc, Misc",Management,Manager I,52306859,159289.85,0.0,2000.0,161289.85,28740.53,22476.42,12338.4,63555.35,224845.2
2,1600,1654,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21","Payroll, Billing & Accounting",Accountant III,53637207,117873.53,340.72,0.0,118214.25,21557.22,16263.35,8850.14,46670.71,164884.96
2,5300,5381,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Sub-Professional Engineering,StdntDsgn Train2/Arch/Eng/Plng,53996999,1430.0,0.0,0.0,1430.0,0.0,0.0,108.61,108.61,1538.61
5,8200,8226,Fiscal,2023,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU, Local 1021, Misc",Protection & Apprehension,Museum Guard,53536859,14920.0,3810.97,1312.9,20043.87,2956.01,3012.0,1577.44,7545.45,27589.32
1,H000,H040,Fiscal,2023,Public Protection,FIR,Fire Department,799,"Firefighters,Local 798, Unit 2",Fire Services,"Battalion Chief, Fire Suppress",51397704,216013.56,111847.42,38432.62,366293.6,44038.22,22807.85,5552.73,72398.8,438692.4
1,H000,H040,Fiscal,2023,Public Protection,FIR,Fire Department,799,"Firefighters,Local 798, Unit 2",Fire Services,"Battalion Chief, Fire Suppress",52286856,249361.23,122610.14,35520.42,407491.79,49191.74,20635.68,6184.77,76012.19,483503.98
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51397858,135540.28,42478.84,32952.65,210971.77,27294.41,19482.0,3151.21,49927.62,260899.39
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51397192,102837.4,19667.87,17301.85,139807.12,20605.22,16080.38,2067.83,38753.43,178560.55
1,H000,H033,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Captain, Emergency Med Svcs",51397598,179818.86,46346.9,28932.65,255098.41,36211.03,19482.0,3817.88,59510.91,314609.32
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51566487,127484.83,45213.74,25653.91,198352.48,26975.05,19482.0,2994.76,49451.81,247804.29
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,54066922,87941.31,33328.07,9627.42,130896.8,17241.77,19482.0,1973.52,38697.29,169594.09
4,1200,1241,Fiscal,2023,Community Health,DPH,Public Health,22,"Prof & Tech Eng, Local 21",Personnel,Human Resources Analyst,53667009,82662.03,348.9,750.0,83760.93,15129.0,16263.35,6586.75,37979.1,121740.03
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,51686512,91395.45,13771.39,14839.69,120006.53,0.0,0.0,9114.5,9114.5,129121.03
2,7200,7215,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,261,"Laborers, Local 261",Supervisory-Labor & Trade,General Laborer Supervisor 1,53637080,86820.97,7975.3,555.55,95351.82,15998.18,16186.92,7322.26,39507.36,134859.18
2,5200,5207,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Assoc Engineer,50874154,160373.0,0.0,0.0,160373.0,28582.26,16263.35,12161.37,57006.98,217379.98
2,9200,9251,Fiscal,2023,"Public Works, Transportation & Commerce",ECN,Economic Workforce Development,351,"Municipal Exec Assoc, Misc",Airport Operation,Public Relations Mgr,53157018,31530.67,0.0,0.0,31530.67,0.0,5019.18,2528.8,7547.98,39078.65
5,8200,8226,Fiscal,2023,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU, Local 1021, Misc",Protection & Apprehension,Museum Guard,50867042,54740.36,985.68,673.97,56400.01,10135.65,11074.7,4506.14,25716.49,82116.5
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51926906,17110.89,0.0,21125.04,38235.93,3338.31,7707.99,472.1,11518.4,49754.33
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,52956876,126112.37,41204.87,24942.89,192260.13,26676.57,19482.0,2823.81,48982.38,241242.51
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,54066941,81051.9,15743.02,6293.56,103088.48,15824.79,16080.38,1555.5,33460.67,136549.15
4,2300,2312,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Nursing,Licensed Vocational Nurse,53956979,90447.1,9255.36,1282.38,100984.84,16571.2,16796.12,7947.85,41315.17,142300.01
4,2200,2242,Fiscal,2023,Community Health,DPH,Public Health,164,"Physician/Dentists 8-CC, UAPD",Medical & Dental,Sr Psychiatric Physician Spec,51926901,285154.36,0.0,2380.0,287534.36,50824.39,17540.15,12807.08,81171.62,368705.98
4,2400,2430,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc","Lab, Pharmacy & Med Techs",Medical Evaluations Assistant,52356936,43528.77,0.0,1243.81,44772.58,9022.81,11491.53,3494.61,24008.95,68781.53
2,7500,7514,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,261,"Laborers, Local 261",Semi-Skilled & General Labor,General Laborer,50855528,81245.87,823.92,1503.08,83572.87,15154.98,15669.41,6633.9,37458.29,121031.16
2,5200,5201,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Junior Engineer,51566499,120955.09,2100.61,1000.0,124055.7,22146.45,16263.35,9424.81,47834.61,171890.31
2,9700,9775,Fiscal,2023,"Public Works, Transportation & Commerce",ECN,Economic Workforce Development,790,"SEIU, Local 1021, Misc",Community Development,Sr Community Dev Spec 2,51206612,149668.8,0.0,1017.6,150686.4,26853.63,16796.12,11693.21,55342.96,206029.36
2,1600,1654,Fiscal,2023,"Public Works, Transportation & Commerce",ECN,Economic Workforce Development,21,"Prof & Tech Eng, Local 21","Payroll, Billing & Accounting",Accountant III,50861035,130801.4,0.0,0.0,130801.4,23949.33,16263.35,10335.34,50548.02,181349.42
1,H000,H030,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Captain, Fire Suppression",51398156,181465.47,27985.46,43377.66,252828.59,38874.06,19659.81,3811.82,62345.69,315174.28
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51397985,136881.79,0.0,12319.35,149201.14,27319.17,16080.38,927.45,44327.0,193528.14
1,1800,1823,Fiscal,2023,Public Protection,FIR,Fire Department,21,"Prof & Tech Eng, Local 21","Budget, Admn & Stats Analysis",Senior Administrative Analyst,51397151,134084.84,0.0,921.19,135006.03,24552.36,16263.35,10557.68,51373.39,186379.42
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,53076869,124877.9,70254.26,24569.61,219701.77,26421.59,19482.0,3325.93,49229.52,268931.29
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,52606942,91607.28,21727.43,9680.3,123015.01,17964.53,19853.08,1858.17,39675.78,162690.79
4,2300,P103,Fiscal,2023,Community Health,DPH,Public Health,791,"SEIU, Local 1021, RN",Nursing,Special Nurse,52888565,103746.25,2633.44,4603.55,110983.24,0.0,0.0,8429.18,8429.18,119412.42
2,7300,7355,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,216,"Teamsters, Local 853",Journeyman Trade,Truck Driver,50868922,83106.81,29891.36,9158.24,122156.41,16920.68,14160.38,8968.07,40049.13,162205.54
2,3400,3417,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,261,"Laborers, Local 261",Agriculture & Horticulture,Gardener,50857684,86573.78,19.19,4454.81,91047.78,16667.88,16122.95,7092.66,39883.49,130931.27
2,5300,5314,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Sub-Professional Engineering,Survey Associate,53637296,129677.4,0.0,0.0,129677.4,23745.26,16263.35,9972.93,49981.54,179658.94
2,6300,6331,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,930,Building Inspects - 6331/33,Construction Inspection,Building Inspector,51566741,148165.0,0.0,0.0,148165.0,26404.55,18685.33,11465.22,56555.1,204720.1
2,1800,1822,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,790,"SEIU, Local 1021, Misc","Budget, Admn & Stats Analysis",Administrative Analyst,53637141,98418.15,0.0,0.0,98418.15,18031.12,15842.7,7783.91,41657.73,140075.88
2,9900,9916,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,261,"Laborers, Local 261",Public Service Aide,Public Svc Aide-Public Works,53826947,2132.2,0.0,79.96,2212.16,0.0,0.0,168.01,168.01,2380.17
2,5200,5203,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Assistant Engineer,53567286,122355.11,0.0,0.0,122355.11,22401.41,16263.35,9576.37,48241.13,170596.24
1,H000,H040,Fiscal,2023,Public Protection,FIR,Fire Department,799,"Firefighters,Local 798, Unit 2",Fire Services,"Battalion Chief, Fire Suppress",51316590,216013.61,3615.16,45050.63,264679.4,44952.3,22807.85,3963.5,71723.65,336403.05
1,H000,H020,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Lieutenant, Fire Suppression",51606521,175595.58,14034.68,18469.18,208099.44,33429.82,17131.78,3078.34,53639.94,261739.38
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51397914,133635.42,104999.94,25577.4,264212.76,28172.17,19209.1,3877.49,51258.76,315471.52
1,H000,H002,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,Firefighter,51397306,136781.46,60274.66,28003.33,225059.45,29083.13,19659.81,3378.19,52121.13,277180.58
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51398520,97906.8,7737.29,6883.43,112527.52,18998.87,15307.6,1635.12,35941.59,148469.11
4,0900,0922,Fiscal,2023,Community Health,DPH,Public Health,351,"Municipal Exec Assoc, Misc",Management,Manager I,53896917,89600.0,0.0,0.0,89600.0,2976.96,12920.86,3191.89,19089.71,108689.71
2,0900,5212,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Management,Engineer/Architect Principal,50861337,265955.41,0.0,0.0,265955.41,47392.47,16263.35,14062.95,77718.77,343674.18
1,H000,H020,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Lieutenant, Fire Suppression",51398459,177420.13,38467.16,35790.46,251677.75,36922.5,19482.0,3749.12,60153.62,311831.37
1,H000,H022,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Lieut,Fire Prev",53896873,178725.67,15168.1,16774.28,210668.05,33869.48,16080.38,3131.68,53081.54,263749.59
4,2300,2303,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Nursing,Patient Care Assistant,54266978,45894.67,3545.64,1724.56,51164.87,8534.89,11545.24,3976.65,24056.78,75221.65
4,2900,2930,Fiscal,2023,Community Health,DPH,Public Health,790,"SEIU, Local 1021, Misc",Human Services,Behavioral Health Clinician,53546929,122623.61,0.0,750.0,123373.61,22453.65,16796.12,9678.52,48928.29,172301.9
4,7500,7524,Fiscal,2023,Community Health,DPH,Public Health,250,"SEIU, Local 1021, Misc",Semi-Skilled & General Labor,Institution Utility Worker,52847649,41070.01,3520.74,0.0,44590.75,997.18,9690.06,3475.93,14163.17,58753.92
2,5200,5261,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Arch/Landscp ArchitectrII,51927119,116872.85,0.0,1000.0,117872.85,21403.17,16263.35,8854.08,46520.6,164393.45
2,5200,5261,Fiscal,2023,"Public Works, Transportation & Commerce",DPW,Department Of Public Works,21,"Prof & Tech Eng, Local 21",Professional Engineering,Arch/Landscp ArchitectrII,51566750,116887.24,0.0,0.0,116887.24,21401.65,16263.35,9157.89,46822.89,163710.13
5,8200,8226,Fiscal,2023,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU, Local 1021, Misc",Protection & Apprehension,Museum Guard,50851427,37443.91,0.0,0.0,37443.91,6874.23,8779.77,3032.31,18686.31,56130.22
5,8200,8202,Fiscal,2023,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU, Local 1021, Misc",Protection & Apprehension,Security Guard,50877183,82974.44,16531.24,0.0,99505.68,15193.47,16795.8,7798.42,39787.69,139293.37
5,8200,8202,Fiscal,2023,Culture & Recreation,FAM,Fine Arts Museum,790,"SEIU, Local 1021, Misc",Protection & Apprehension,Security Guard,50849463,79767.4,5976.48,0.0,85743.88,14606.1,16146.56,6576.73,37329.39,123073.27
5,1200,1244,Fiscal,2023,Culture & Recreation,FAM,Fine Arts Museum,22,"Prof & Tech Eng, Local 21",Personnel,Senior Human Resources Analyst,54207118,66038.0,0.0,0.0,66038.0,12025.58,8757.19,5144.03,25926.8,91964.8
1,H000,H020,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,"Lieutenant, Fire Suppression",52136890,155450.73,25273.47,27456.18,208180.38,31709.35,17812.11,2903.98,52425.44,260605.82
1,H000,H003,Fiscal,2023,Public Protection,FIR,Fire Department,798,"Firefighters,Local 798, Unit 1",Fire Services,EMT/Paramedic/Firefighter,51397761,156660.62,32707.66,15092.85,204461.13,31456.31,19482.0,2947.57,53885.88,258347.01
